,label_column,label_value,count_samples_in_group,percentage_above_min_value,group
6600,FA,4004463,2,100.0,HIGH
6601,FA,4004351,1,100.0,HIGH
6602,FA,4004353,1,100.0,HIGH
6545,FA,4002420,2,100.0,HIGH
6543,FA,4003401,1,100.0,HIGH
6784,FA,4001696,7,100.0,HIGH
6542,FA,4001609,1,100.0,HIGH
6485,FA,4003920,1,100.0,HIGH
6486,FA,4003699,1,100.0,HIGH
6487,FA,4000445,1,100.0,HIGH
6488,FA,4007669,2,100.0,HIGH
6489,FA,4004041,8,100.0,HIGH
6490,FA,4007670,2,100.0,HIGH
6491,FA,4007671,4,100.0,HIGH
6492,FA,4002951,9,100.0,HIGH
6493,FA,4002080,5,100.0,HIGH
6494,FA,4002935,5,100.0,HIGH
6495,FA,4003969,1,100.0,HIGH
6496,FA,4003166,4,100.0,HIGH
6497,FA,4002336,2,100.0,HIGH
6498,FA,4001246,4,100.0,HIGH
6499,FA,4004049,22,100.0,HIGH
6500,FA,4003742,3,100.0,HIGH
6501,FA,4003554,4,100.0,HIGH
6484,FA,4003897,1,100.0,HIGH
6483,FA,4002493,57,100.0,HIGH
6482,FA,4001819,6,100.0,HIGH
6472,FA,4003836,19,100.0,HIGH
6465,FA,4001854,10,100.0,HIGH
6466,FA,4001825,13,100.0,HIGH
6467,FA,4000662,1,100.0,HIGH
6468,FA,4000667,1,100.0,HIGH
6469,FA,4002275,22,100.0,HIGH
6470,FA,4004011,45,100.0,HIGH
6471,FA,4003383,10,100.0,HIGH
6473,FA,4002871,20,100.0,HIGH
6481,FA,4004036,2,100.0,HIGH
6474,FA,4004030,22,100.0,HIGH
6475,FA,4003826,2,100.0,HIGH
6476,FA,4003615,3,100.0,HIGH
6477,FA,4001297,2,100.0,HIGH
6478,FA,4004016,6,100.0,HIGH
6479,FA,4000858,17,100.0,HIGH
6480,FA,4003739,1,100.0,HIGH
6502,FA,4000522,8,100.0,HIGH
6503,FA,4004051,4,100.0,HIGH
6504,FA,4003536,10,100.0,HIGH
6533,FA,4002606,2,100.0,HIGH
6526,FA,4002891,4,100.0,HIGH
6527,FA,4000690,1,100.0,HIGH
6528,FA,4003143,1,100.0,HIGH
6529,FA,4000694,8,100.0,HIGH
6530,FA,4001260,4,100.0,HIGH
6531,FA,4003020,8,100.0,HIGH
6532,FA,4000472,48,100.0,HIGH
6534,FA,4007734,1,100.0,HIGH
6524,FA,4002205,2,100.0,HIGH
6535,FA,4002579,2,100.0,HIGH
6536,FA,4001102,19,100.0,HIGH
6537,FA,4001247,1,100.0,HIGH
6538,FA,4002857,3,100.0,HIGH
6539,FA,4002739,2,100.0,HIGH
6540,FA,4001512,4,100.0,HIGH
6541,FA,4001143,5,100.0,HIGH
6525,FA,4007674,1,100.0,HIGH
6523,FA,4007673,1,100.0,HIGH
6505,FA,4000480,1,100.0,HIGH
6513,FA,4002898,1,100.0,HIGH
6506,FA,4002452,1,100.0,HIGH
6507,FA,4001214,4,100.0,HIGH
6508,FA,4001469,4,100.0,HIGH
6509,FA,4001795,1,100.0,HIGH
6510,FA,4003205,12,100.0,HIGH
6511,FA,4007672,1,100.0,HIGH
6512,FA,4001192,1,100.0,HIGH
6514,FA,4000307,3,100.0,HIGH
6522,FA,4002789,27,100.0,HIGH
6515,FA,4001964,1,100.0,HIGH
6516,FA,4003287,12,100.0,HIGH
6517,FA,4000684,1,100.0,HIGH
6518,FA,4001311,12,100.0,HIGH
6519,FA,4000711,5,100.0,HIGH
6520,FA,4002887,4,100.0,HIGH
6521,FA,4001496,2,100.0,HIGH
6623,FA,4004315,1,100.0,HIGH
6624,FA,4005222,1,100.0,HIGH
6625,FA,4003358,18,100.0,HIGH
6626,FA,4003626,1,100.0,HIGH
6727,FA,4003546,11,100.0,HIGH
6728,FA,4000780,1,100.0,HIGH
6729,FA,4000794,22,100.0,HIGH
6730,FA,4000585,4,100.0,HIGH
6731,FA,4001686,2,100.0,HIGH
6732,FA,4000576,1,100.0,HIGH
6733,FA,4000583,4,100.0,HIGH
6734,FA,4000645,1,100.0,HIGH
6735,FA,4002803,2,100.0,HIGH
6736,FA,4003195,12,100.0,HIGH
6737,FA,4001620,1,100.0,HIGH
6738,FA,4001359,8,100.0,HIGH
6739,FA,4001041,1,100.0,HIGH
6740,FA,4001504,2,100.0,HIGH
6741,FA,4002229,4,100.0,HIGH
6742,FA,4003322,6,100.0,HIGH
6743,FA,4003585,3,100.0,HIGH
6726,FA,4003524,4,100.0,HIGH
6725,FA,4003592,7,100.0,HIGH
6724,FA,4003340,4,100.0,HIGH
6714,FA,4000762,8,100.0,HIGH
6707,FA,4003191,2,100.0,HIGH
6708,FA,4001403,4,100.0,HIGH
6709,FA,4002656,2,100.0,HIGH
6710,FA,4002710,1,100.0,HIGH
6711,FA,4002718,1,100.0,HIGH
6712,FA,4002807,1,100.0,HIGH
6713,FA,4003382,5,100.0,HIGH
6715,FA,4003550,2,100.0,HIGH
6723,FA,4003032,4,100.0,HIGH
6716,FA,4001975,5,100.0,HIGH
6717,FA,4001226,3,100.0,HIGH
6718,FA,4003786,4,100.0,HIGH
6719,FA,4002232,5,100.0,HIGH
6720,FA,4001108,15,100.0,HIGH
6721,FA,4000875,8,100.0,HIGH
6722,FA,4003193,11,100.0,HIGH
6744,FA,4003774,5,100.0,HIGH
6745,FA,4002286,1,100.0,HIGH
6746,FA,4002594,1,100.0,HIGH
6775,FA,4001035,8,100.0,HIGH
6768,FA,4003107,2,100.0,HIGH
6769,FA,4001155,1,100.0,HIGH
6770,FA,4003063,2,100.0,HIGH
6771,FA,4001950,8,100.0,HIGH
6772,FA,4003183,2,100.0,HIGH
6773,FA,4001735,4,100.0,HIGH
